,Nationality,Continent,Vehicle Name,Vehicle Type,Wheel drive type,Retail Price,Dealer Cost,Engine Size (l),Cyl,HP,City MPG,Hwy MPG,Weight,Wheel Base,Len,Width,Combined MPG
0,JPN,Asia,Acura 3.5 RL 4dr,Sedan,NA,43755,39014,3.5,6,225,18,18,3880,115,197,72,18.0
1,JPN,Asia,Acura 3.5 RL w/Navigation 4dr,Sedan,NA,46100,41100,3.5,6,225,18,18,3893,115,197,72,18.0
2,JPN,Asia,Acura MDX,SUV,AWD,36945,33337,3.5,6,265,17,17,4451,106,189,77,17.0
3,JPN,Asia,Acura NSX coupe 2dr manual S,Sports Car,RWD,89765,79978,3.2,6,290,17,17,3153,100,174,71,17.0
4,JPN,Asia,Acura RSX Type S 2dr,Sedan,NA,23820,21761,2.0,4,200,24,24,2778,101,172,68,24.0
5,JPN,Asia,Acura TL 4dr,Sedan,NA,33195,30299,3.2,6,270,20,20,3575,108,186,72,20.0
6,JPN,Asia,Acura TSX 4dr,Sedan,NA,26990,24647,2.4,4,200,22,22,3230,105,183,69,22.0
7,GER,Europe,Audi A4 1.8T 4dr,Sedan,NA,25940,23508,1.8,4,170,22,22,3252,104,179,70,22.0
8,GER,Europe,Audi A4 3.0 4dr,Sedan,NA,31840,28846,3.0,6,220,20,20,3462,104,179,70,20.0
9,GER,Europe,Audi A4 3.0 convertible 2dr,Sedan,NA,42490,38325,3.0,6,220,20,20,3814,105,180,70,20.0
10,GER,Europe,Audi A4 3.0 Quattro 4dr auto,Sedan,AWD,34480,31388,3.0,6,220,18,18,3627,104,179,70,18.0
11,GER,Europe,Audi A4 3.0 Quattro 4dr manual,Sedan,AWD,33430,30366,3.0,6,220,17,17,3583,104,179,70,17.0
12,GER,Europe,Audi A4 3.0 Quattro convertible 2dr,Sedan,AWD,44240,40075,3.0,6,220,18,18,4013,105,180,70,18.0
13,GER,Europe,Audi A41.8T convertible 2dr,Sedan,NA,35940,32506,1.8,4,170,23,23,3638,105,180,70,23.0
14,GER,Europe,Audi A6 2.7 Turbo Quattro 4dr,Sedan,AWD,42840,38840,2.7,6,250,18,18,3836,109,192,71,18.0
15,GER,Europe,Audi A6 3.0 4dr,Sedan,NA,36640,33129,3.0,6,220,20,20,3561,109,192,71,20.0
16,GER,Europe,Audi A6 3.0 Avant Quattro,Wagon,AWD,40840,37060,3.0,6,220,18,18,4035,109,192,71,18.0
17,GER,Europe,Audi A6 3.0 Quattro 4dr,Sedan,AWD,39640,35992,3.0,6,220,18,18,3880,109,192,71,18.0
18,GER,Europe,Audi A6 4.2 Quattro 4dr,Sedan,AWD,49690,44936,4.2,8,300,17,17,4024,109,193,71,17.0
19,GER,Europe,Audi A8 L Quattro 4dr,Sedan,AWD,69190,64740,4.2,8,330,17,17,4399,121,204,75,17.0
20,GER,Europe,Audi RS 6 4dr,Sports Car,NA,84600,76417,4.2,8,450,15,15,4024,109,191,78,15.0
21,GER,Europe,Audi S4 Avant Quattro,Wagon,AWD,49090,44446,4.2,8,340,15,15,3936,104,179,70,15.0
22,GER,Europe,Audi S4 Quattro 4dr,Sedan,AWD,48040,43556,4.2,8,340,14,14,3825,104,179,70,14.0
23,GER,Europe,Audi TT 1.8 convertible 2dr (coupe),Sports Car,NA,35940,32512,1.8,4,180,20,20,3131,95,159,73,20.0
24,GER,Europe,Audi TT 1.8 Quattro 2dr (convertible),Sports Car,AWD,37390,33891,1.8,4,225,20,20,2921,96,159,73,20.0
25,GER,Europe,Audi TT 3.2 coupe 2dr (convertible),Sports Car,AWD,40590,36739,3.2,6,250,21,21,3351,96,159,73,21.0
26,GER,Europe,BMW 325Ci 2dr,Sedan,RWD,30795,28245,2.5,6,184,20,20,3197,107,177,69,20.0
27,GER,Europe,BMW 325Ci convertible 2dr,Sedan,RWD,37995,34800,2.5,6,184,19,19,3560,107,177,69,19.0
28,GER,Europe,BMW 325i 4dr,Sedan,RWD,28495,26155,2.5,6,184,20,20,3219,107,176,69,20.0
29,GER,Europe,BMW 325xi 4dr,Sedan,AWD,30245,27745,2.5,6,184,19,19,3461,107,176,69,19.0
